username, created_at, lng, lat, text
SheriLaFontReal, Tue Jan 26 23:55:45 +0000 2021, -83.620704, 41.763429, Thank you DJs, for playing “One Day When I Go to Heaven”. 
CoachGeorge5, Tue Jan 26 23:55:45 +0000 2021, -97.552161, 35.482844, Happy Birthday @CoachScottOkie , proud of you and the work you’ve done in Arkansas!! 
jensayingthings, Tue Jan 26 23:55:45 +0000 2021, -73.948775, 40.655138, Wait is it like.....so underrated that girls literally BLEED out for 1/4 of the month or am I just high ???.....¿ 
SE_VAYON, Tue Jan 26 23:55:45 +0000 2021, -93.917657, 29.944512, With so much talk about raising the minimum wage to $15 hr (which I am all for), I’m curious if tipped employee wag… https://t.co/mYsTXdFvrz 
ItsButaflii, Tue Jan 26 23:55:45 +0000 2021, -90.179720, 35.176201, Watch how he does that dramatic turn 😭😭😭😭 straight light skin 🤣😭🤣😭🤣😭 
JKS_KISSYKLAUS, Tue Jan 26 23:55:46 +0000 2021, -86.142922, 39.779562, @ChiCubGrl @wendellholland @birdtracs @izzyresiz Hahaha! @joemac_4ever 
oswegos1, Tue Jan 26 23:55:46 +0000 2021, -76.501448, 43.461226, @jaketapper The key to take away is that the trial will move forward, and all the evidence will be public- includin… https://t.co/tjm5AVwYNc 
SE_VAYON, Tue Jan 26 23:55:46 +0000 2021, -93.917657, 29.944512, I personally think if the min wage is raised, then tipped wages should be raised to at least $7.25 hr, if not more. 
StevieO1974, Tue Jan 26 23:55:46 +0000 2021, -78.881800, 42.993664, @SamanthaSMarks Me too 
QuesoScoreboard, Tue Jan 26 23:55:46 +0000 2021, -104.897597, 39.587731, Queso dip from 3 Margaritas Littleton may look ordinary but there's a lot more flavor and uniqueness in there then… https://t.co/qFQbM6zvVf 
baddiequay, Tue Jan 26 23:55:46 +0000 2021, -82.985772, 39.994684, @_BrookeAlexis_ I got a Dash Pass if you need it. Lmaoooo 
brennenbrixey, Tue Jan 26 23:55:46 +0000 2021, -117.397616, 33.935822, The shots instagram won’t get to see. ☺️📸 https://t.co/z6Pm9VX0Zx 
ChinLovesIowa, Tue Jan 26 23:55:46 +0000 2021, -91.618471, 41.754823, @Edogg24 @Edogg24 Ultron ✅ Civil War ✅ Infinity ✅ Endgame ▶️ 
Dayannagmusic03, Tue Jan 26 23:55:46 +0000 2021, -117.220413, 33.809139, como quisiera ir a mi pueblo 😍 chuladaaaa cananea sonora ❤️🇲🇽 https://t.co/xTehooQoSr 
RedCard94, Tue Jan 26 23:55:47 +0000 2021, -75.493761, 40.040788, Scumbag 
LivinGoodLamar, Tue Jan 26 23:55:47 +0000 2021, -92.943753, 44.828137, @JDTCD I always was content with that project. 
sh1n_tw0f4z3_79, Tue Jan 26 23:55:47 +0000 2021, -97.199323, 32.830314, I'm at Food Court - @northeastmall in Hurst, TX https://t.co/TqUX8vGoBz 
JonathanLovesUs, Tue Jan 26 23:55:47 +0000 2021, -71.103453, 42.118578, @latimes Disregard the timing… There’s nothing to see. Keep scrolling… 
RahmonMallard1, Tue Jan 26 23:55:47 +0000 2021, -86.142922, 39.779562, @VedoTheSinger got the song of the year . That’s all I hear everyday lol 
moon_roll, Tue Jan 26 23:55:47 +0000 2021, -79.272570, 43.629311, https://t.co/Pl693U9Ic0 
cuddlekid2001, Tue Jan 26 23:55:47 +0000 2021, -84.280194, 34.073344, @zucchiniseed Trying to get on this level 
baileagrantt, Tue Jan 26 23:55:47 +0000 2021, -82.985772, 39.994684, whewf the way i would sing this to @kennedykandi everyday. 
NinaDESell, Tue Jan 26 23:55:47 +0000 2021, -76.533790, 39.411702, @Alt1045Philly @JammminJessie All night long by Lionel Richie Tam bo li de say de moi ya, Hey Jambo Jumbo...think i… https://t.co/pTe1DJfqDX 
mdgjedde, Tue Jan 26 23:55:47 +0000 2021, -82.388215, 36.344741, 👇 
patriceneeeezy, Tue Jan 26 23:55:47 +0000 2021, -118.411907, 34.020789, Bye lmfao 
511NY, Tue Jan 26 23:55:48 +0000 2021, -74.005970, 40.656101, Cleared: Incident on #I278 WB at 39th Street 
noahmitchell0, Tue Jan 26 23:55:48 +0000 2021, -77.014398, 38.898603, Today is Kevin McCarthy’s birthday and Sinema’s birthday gift to him is keeping the filibuster! 
511NY, Tue Jan 26 23:55:48 +0000 2021, -73.769613, 42.831198, Incident on #I87Northway NB at Town of Clifton Park; Town of Halfmoon Line Exit 8A https://t.co/vFoXcoL8XP 
powerpuffthott, Tue Jan 26 23:55:48 +0000 2021, -95.446486, 29.838495, just finished trauma dumping on my bestie 👍🏻 
DaniF215, Tue Jan 26 23:55:48 +0000 2021, -75.386460, 39.145024, @AltPress @TheOfficialA7X  foREVer ! Can't wait til we can go to concerts again! That's what I miss more than anything! 
ghhabib_fa, Tue Jan 26 23:55:48 +0000 2021, -79.913521, 43.260695, @kargadan 😋 
iplitigate, Tue Jan 26 23:55:48 +0000 2021, -83.173867, 32.678207, @RonFilipkowski For me it is who does NOT make me change the channel. 90% of my TV time is sports the rest is movies. 
HexTomBombadil, Tue Jan 26 23:55:48 +0000 2021, -77.176680, 38.776676, 🔥I learned about sinful fallen female nature from a man going to school to be a pastor. He was kicked out for forni… https://t.co/IMhftt7fNG 
aBillGottaChill, Tue Jan 26 23:55:48 +0000 2021, -77.014398, 38.898603, And check out the full project "You Dont Know Me" by @thisismarlow_https://t.co/mPayVjAZmU 
511nyAlbany, Tue Jan 26 23:55:48 +0000 2021, -73.769613, 42.831198, Incident on #I87Northway NB at Town of Clifton Park; Town of Halfmoon Line Exit 8A https://t.co/aC37OxM656 
exfkaty, Tue Jan 26 23:55:48 +0000 2021, -75.117998, 40.004866, God this is awful 
fmaplesphoto, Tue Jan 26 23:55:48 +0000 2021, -83.179169, 42.246208, https://t.co/3rtGI3iCeJ #StocksToBuy  Start off stock investing by getting one free on me. Link is above! ✌🏽 
ckieser13, Tue Jan 26 23:55:48 +0000 2021, -86.120541, 41.734862, @alecrogers1968 @HumphreyBohun Vermont and Maine. Hence the joke "as Maine goes, so goes Vermont." 
511NY, Tue Jan 26 23:55:49 +0000 2021, -73.968361, 40.854600, Updated: Incident on #GeorgeWashingtonBridge EB at New Jersey Side Toll Plaza https://t.co/AsQekHZRBX 
SurfLover, Tue Jan 26 23:55:49 +0000 2021, -122.602059, 45.413492, Got an email from Red Cross saying where my blood went. Giving blood saves lives. Join me. https://t.co/WYqv0WjhlK #RedCrossOnTheWay 
_KUMARIO7, Tue Jan 26 23:55:49 +0000 2021, -80.926628, 33.631140, @_WhoIsTA @bitchzephyr Bruh you talking bout the same nigga that drank a jug of Eggnog while looking me in my eyes 
CoachHenzler, Tue Jan 26 23:55:49 +0000 2021, -100.076888, 31.168893, Congrats to Seniors Za’Kylon Williams @ZakylonW (OL) &amp; Braxton Jimmerson (WR) on both earning Padilla Poll All-Stat… https://t.co/iLA08I2PWO 
ethanpheng24, Tue Jan 26 23:55:49 +0000 2021, -117.887439, 33.739992, @YourBeed Oh shittttt that card is too rare to get my man. 
_akeoki, Tue Jan 26 23:55:49 +0000 2021, -79.420865, 38.003376, I need funny friends 😒 
looice, Tue Jan 26 23:55:49 +0000 2021, -82.208899, 34.798725, https://t.co/RtmjFEdTrc 
letshaveadtr, Tue Jan 26 23:55:49 +0000 2021, -83.173867, 32.678207, all i want 🤤 
Pain_Slugchrist, Tue Jan 26 23:55:49 +0000 2021, -80.219911, 26.212769, When you’re manifesting her hitting you up or anything cuz she knows you still love her and knows he can handle the issues this time 
MillsGarris, Tue Jan 26 23:55:49 +0000 2021, -84.517077, 39.029941, @JReinerMD @RandPaul And to kentucky 
T__A__G, Tue Jan 26 23:55:49 +0000 2021, -87.632496, 41.883222, Tenant Advisory Group TAG! #buildyourfuture #tag #testimonial #chicago #cre #commercialrealestate #tagcares @ Chica… https://t.co/WVOS7iLAs9 
tmj_las_nursing, Tue Jan 26 23:55:49 +0000 2021, -115.139830, 36.169941, Interested in a job in #LasVegas, NV? This could be a great fit. Click the link in our bio to apply: Outpatient Reg… https://t.co/vQY6Q9gbCu 
Firefighter5802, Tue Jan 26 23:55:50 +0000 2021, -73.829435, 42.608177, @ThePubliusUSA 🖐 
_mariaaap_, Tue Jan 26 23:55:50 +0000 2021, -96.734900, 33.061243, @bebejay_____ 
jasonmoorman, Tue Jan 26 23:55:50 +0000 2021, -121.716454, 37.931388, Agree 100% 
